City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,gibsons,49.3997,-123.5027,6.0,95,9,3.01,CA,1704604589
164,fortuna,40.5982,-124.1573,4.43,95,75,0.0,US,1704605098
165,horta,38.5333,-28.6333,13.9,80,100,2.68,PT,1704605099
166,toktogul,41.8708,72.9402,3.23,78,100,0.27,KG,1704605100
167,spring creek,40.7266,-115.5859,-4.55,92,100,4.13,US,1704605100
168,scarborough,54.2797,-0.4044,4.81,86,78,3.52,GB,1704605101
169,tambopata,-12.7333,-69.1833,22.78,98,83,1.23,PE,1704605102
170,san luis de la loma,17.2706,-100.8939,23.88,75,41,1.78,MX,1704605102
171,huangnihe,43.5583,128.0239,-16.3,79,96,6.41,CN,1704605102
172,beira,-19.8436,34.8389,25.32,82,6,0.83,MZ,1704605103
173,rio gallegos,-51.6226,-69.2181,12.03,47,0,2.06,AR,1704605103
174,edgewater,28.9889,-80.9023,19.01,89,78,3.63,US,1704605103
175,big spring,32.2504,-101.4787,0.25,86,1,2.57,US,1704605103
176,petawawa,45.9001,-77.3328,-9.12,88,100,0.89,CA,1704604853
177,gambela,8.25,34.5833,25.08,39,3,1.02,ET,1704605105
178,pontianak,-0.0333,109.3333,27.99,83,75,3.6,ID,1704605105
179,tulum,20.2167,-87.4667,25.48,86,0,3.54,MX,1704605106
180,nabire,-3.3667,135.4833,29.08,76,82,2.05,ID,1704605106
181,birao,10.2849,22.7882,14.99,27,20,2.89,CF,1704605107
182,huarmey,-10.0681,-78.1522,22.41,85,93,3.98,PE,1704605107
183,fengtai,39.5581,117.7492,-3.15,38,0,1.07,CN,1704605108
184,cabo san lucas,22.8909,-109.9124,20.98,52,100,1.05,MX,1704605109
185,simav,39.0882,28.9777,8.56,75,78,7.44,TR,1704605110
186,shingu,33.7333,135.9833,9.32,54,13,6.37,JP,1704604835
187,anar darah,32.7587,61.654,10.92,65,52,2.06,AF,1704605110
188,gebeit,21.0667,36.3167,16.66,72,0,1.68,SD,1704605110
189,darwin,-12.4611,130.8418,29.99,74,75,5.14,AU,1704605111
190,gizo,-8.103,156.8419,29.15,72,100,1.81,SB,1704605111
191,saint-philippe,-21.3585,55.7679,27.77,80,97,4.19,RE,1704605111
192,fernie,49.5,-115.0687,-0.89,97,100,1.65,CA,1704605112
193,khan yunis,31.3402,34.3063,16.56,55,4,4.13,PS,1704605112
194,coahuayana de hidalgo,18.7,-103.6583,22.12,84,54,1.57,MX,1704605113
195,tavda,58.0425,65.2726,-20.73,97,100,3.13,RU,1704605113
196,betioky,-23.7167,44.3833,27.37,71,36,2.45,MG,1704605114
197,smithers,54.7804,-127.1743,-4.82,100,100,0.0,CA,1704605115
198,porto novo,6.4965,2.6036,27.9,88,6,0.62,BJ,1704605116
199,sitka,57.0531,-135.33,-0.06,86,40,0.0,US,1704605116
200,howard springs,-12.497,131.047,29.95,76,100,2.83,AU,1704605117
201,khandyga,62.6667,135.6,-42.46,99,100,0.77,RU,1704605118
202,soroti,1.7146,33.6111,22.99,51,11,1.15,UG,1704605120
203,fisterra,42.9049,-9.2629,9.32,71,100,3.77,ES,1704605120
204,boden,65.8252,21.6886,-30.0,100,54,1.13,SE,1704605120
205,nyurba,63.2842,118.3319,-28.71,96,100,2.13,RU,1704605121
